,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
3072,Wells County,ND,3828,3811,14,3
3073,West Baton Rouge Parish,LA,24075,23794,70,211
3074,West Carroll Parish,LA,10597,10504,52,41
3075,West Feliciana Parish,LA,14755,14487,52,216
3076,Westchester County,NY,913905,666972,133007,113926
3077,Westmoreland County,PA,338555,332992,3678,1885
3078,Westmoreland County,VA,16736,16022,196,518
3079,Weston County,WY,6728,6434,161,133
3080,Wetzel County,WV,14829,14719,45,65
3081,Wexford County,MI,31119,30664,284,171
3082,Wharton County,TX,38724,34376,993,3355
3083,Whatcom County,WA,205055,182929,11243,10883
3084,Wheatland County,MT,2008,1948,19,41
3085,Wheeler County,GA,7601,7533,8,60
3086,Wheeler County,NE,778,773,0,5
3087,Wheeler County,OR,1358,1307,6,45
3088,Wheeler County,TX,5100,4658,66,376
3089,White County,AR,73753,71530,654,1569
3090,White County,GA,27671,26885,402,384
3091,White County,IL,13215,13040,93,82
3092,White County,IN,22718,21652,232,834
3093,White County,TN,25012,24671,195,146
3094,White Pine County,NV,9216,8797,94,325
3095,Whiteside County,IL,53183,51394,845,944
3096,Whitfield County,GA,96799,77553,4989,14257
3097,Whitley County,IN,31617,31177,224,216
3098,Whitley County,KY,33398,33017,100,281
3099,Whitman County,WA,46526,41336,1337,3853
3100,Wibaux County,MT,1050,1013,15,22
3101,Wichita County,KS,2022,1803,51,168
3102,Wichita County,TX,123201,114440,3418,5343
3103,Wicomico County,MD,96016,87744,3257,5015
3104,Wilbarger County,TX,12233,11664,233,336
3105,Wilcox County,AL,10143,10085,28,30
3106,Wilcox County,GA,8378,8131,58,189
3107,Wilkes County,GA,9326,8918,118,290
3108,Wilkes County,NC,65055,62259,743,2053
3109,Wilkin County,MN,5991,5951,32,8
3110,Wilkinson County,GA,8572,8423,17,132
3111,Wilkinson County,MS,8439,8439,0,0
3112,Will County,IL,647568,564570,46030,36968
3113,Willacy County,TX,20356,16696,1493,2167
3114,Williams County,ND,31110,29188,887,1035
3115,Williams County,OH,34785,34383,267,135
3116,Williamsburg County,SC,30141,29625,187,329
3117,Williamsburg city,VA,14293,13194,362,737
3118,Williamson County,IL,63313,62193,607,513
3119,Williamson County,TN,205568,189337,7653,8578
3120,Williamson County,TX,491752,428171,29404,34177
3121,Wilson County,KS,8201,8109,72,20
3122,Wilson County,NC,76511,71499,1805,3207
3123,Wilson County,TN,124697,118402,2906,3389
3124,Wilson County,TX,45336,42937,1128,1271
3125,Winchester city,VA,25921,22519,994,2408
3126,Windham County,CT,110726,104887,2883,2956
3127,Windham County,VT,41207,39729,818,660
3128,Windsor County,VT,52921,51109,852,960
3129,Winkler County,TX,7153,6024,306,823
3130,Winn Parish,LA,13707,13664,14,29
3131,Winnebago County,IA,10007,9792,93,122
3132,Winnebago County,IL,268198,244355,11812,12031
3133,Winnebago County,WI,160513,154576,3067,2870
3134,Winneshiek County,IA,19496,19057,93,346
3135,Winona County,MN,48412,46705,620,1087
3136,Winston County,AL,22629,22370,74,185
3137,Winston County,MS,17373,17290,6,77
3138,Wirt County,WV,5492,5479,13,0
3139,Wise County,TX,60337,55679,1494,3164
3140,Wise County,VA,37012,36595,248,169
3141,Wolfe County,KY,6782,6768,11,3
3142,Wood County,OH,123006,118629,2107,2270
3143,Wood County,TX,41677,40071,543,1063
3144,Wood County,WI,69146,67360,859,927
3145,Wood County,WV,80704,79799,593,312
3146,Woodbury County,IA,94932,86311,4044,4577
3147,Woodford County,IL,36433,35932,428,73
3148,Woodford County,KY,24618,23403,151,1064
3149,Woodruff County,AR,6270,6235,3,32
3150,Woods County,OK,8604,8328,124,152
3151,Woodson County,KS,2989,2975,1,13
3152,Woodward County,OK,19515,18260,251,1004
3153,Worcester County,MA,777609,680077,52343,45189
3154,Worcester County,MD,49406,47075,1212,1119
3155,Worth County,GA,19369,19101,141,127
3156,Worth County,IA,7098,7033,48,17
3157,Worth County,MO,1922,1897,21,4
3158,Wrangell City and Borough,AK,2368,2242,22,104
3159,Wright County,IA,12057,11435,233,389
3160,Wright County,MN,123291,119640,2025,1626
3161,Wright County,MO,17040,16855,130,55
3162,Wyandot County,OH,20896,20451,181,264
3163,Wyandotte County,KS,150793,123912,5831,21050
3164,Wyoming County,NY,38494,37697,270,527
3165,Wyoming County,PA,26219,25883,224,112
3166,Wyoming County,WV,20557,20481,60,16
3167,Wythe County,VA,27615,27474,92,49
3168,Yabucoa Municipio,PR,32683,32629,29,25
3169,Yadkin County,NC,35685,33823,490,1372
3170,Yakima County,WA,228786,184076,12440,32270
3171,Yakutat City and Borough,AK,627,573,26,28
3172,Yalobusha County,MS,11661,11615,35,11
3173,Yamhill County,OR,97847,88956,3582,5309
3174,Yancey County,NC,16841,16291,143,407
3175,Yankton County,SD,21357,20986,206,165
3176,Yates County,NY,23498,23126,176,196
3177,Yauco Municipio,PR,34821,34697,76,48
3178,Yavapai County,AZ,215098,201071,7191,6836
3179,Yazoo County,MS,26141,24998,73,1070
3180,Yell County,AR,20126,18088,556,1482
3181,Yellow Medicine County,MN,9251,9078,92,81
3182,Yellowstone County,MT,147628,144284,1924,1420
3183,Yoakum County,TX,7788,5876,432,1480
3184,Yolo County,CA,202510,153682,22268,26560
3185,York County,ME,193440,186732,4329,2379
3186,York County,NE,12936,12691,83,162
3187,York County,PA,418500,401149,9260,8091
3188,York County,SC,242605,229921,6384,6300
3189,York County,VA,63815,58344,3086,2385
3190,Young County,TX,17021,15941,239,841
3191,Yuba County,CA,69367,59944,4816,4607
3192,Yukon-Koyukuk Census Area,AK,5012,4935,35,42
3193,Yuma County,AZ,192617,137229,24393,30995
3194,Yuma County,CO,9296,8288,84,924
3195,Zapata County,TX,12973,9101,826,3046
3196,Zavala County,TX,11206,10182,514,510
3197,Ziebach County,SD,2616,2592,11,13
