,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
442,Catahoula Parish,LA,EDUCATION_LESS_9TH,7.7
443,Catawba County,NC,EDUCATION_LESS_9TH,5.0
444,Catoosa County,GA,EDUCATION_LESS_9TH,3.0
445,Catron County,NM,EDUCATION_LESS_9TH,3.5
446,Cattaraugus County,NY,EDUCATION_LESS_9TH,4.0
447,Cavalier County,ND,EDUCATION_LESS_9TH,5.4
448,Cayey Municipio,PR,EDUCATION_LESS_9TH,19.3
449,Cayuga County,NY,EDUCATION_LESS_9TH,3.1
450,Cecil County,MD,EDUCATION_LESS_9TH,3.2
451,Cedar County,IA,EDUCATION_LESS_9TH,1.9
452,Cedar County,MO,EDUCATION_LESS_9TH,6.3
453,Cedar County,NE,EDUCATION_LESS_9TH,3.1
454,Ceiba Municipio,PR,EDUCATION_LESS_9TH,16.6
